ID,Event date,Day,Action,Actor,Actor specified ,Target,Target specified,Event,Oblast,Location,Issue,Linked date,Time,# protester,Arrests,Injuries,ProtKilled,Propdamag,#State,#State inj,#State killed,,,,,,
CK 1,21-Oct-2009,Wed,vandalism,NGO,"public organization ""People's Salvation Army"" (Народна армія спасіння) ",politician,candidates running for presidential elections,"Members of the public organization ""People's Salvation Army"" spoiled 20 electoral bigboards by posting antipiar slogans against Uschenko, Timoshenko, Tigipko, Yanukovych, Yatsenuk. ",Cherkasy,Cherkasy,electoral,,,,0,0,0,Y,,0,0,,,,,,
CK 10,28-Nov-2009,Sat,arrest,state forces,police,NGO,Smila Community of political prisoners and repressed,"Police arrested dressed as ""cossacks"" activists pf Smila Community  of political prisoners and repressed after the fight with CPU near Lenin monument",Cherkasy,Smila,anti-Communism,,,,4,0,0,N,,0,0,,,,,,
CK 100,17-Dec-2010,Fri,sabotage,unknown,,state enterprise,Ukrainian Railways,As a protest against future closure of the two railway stops in the village someone had put the bridges on the railroad tracks.,Cherkasy,Hlystunivka village,public transportation,,,,0,0,0,Y,,0,0,,,,,,
CK 101,28-Dec-2010,Tue,symbolic,"NGO, party","NGO ""Freedom"", UNP",government,"President of Ukraine Victor Yanukovych, Cabinet of Ministers",In a symbolic way protesters demanded to stop the price and tariff raising. Protesters installed the gibbet as a symbol of genocide against people.,Cherkasy,Cherkasy,"welfare, public utilities",,,,0,0,0,N,,0,0,,,,,,
CK 11,30-Nov-2009,Mon,rally,artists,artists of Cherkasy,"government, local authorities",,"Artists of Cherkasy gathered on the Ploshcha Svobody  (Freedom Square) to protest against censorship in arts with the framework of all-ukrainian movement ""Silence Conspiracy"" (""Zmova Movchannya""), and against detention of artist Olexander Volodarskyj who imitated intercourse in front of the Verkhovna Rada (in order to protest against Commission for Protection of Public Morality)",Cherkasy,Cherkasy,freedom of speech,2-Nov-2009,,,0,0,0,N,,0,0,,,,,,
CK 12,30-Nov-2009,Mon,rally,citizens,parents of pupils from Tagancha village,local authorities,,Parents of pupils from school in Tagancha village picketed in front of the school to protest against absence of heating and proposal of local authorities to sent their children to school in the nearby village,Cherkasy,Tagancha village,public utilities,,,101,0,0,0,N,,0,0,,,,,,
CK 13,18-Dec-2009,Fri,picket,party,"Party 'Svoboda', UNP",local authorities,City Council,Representatives of Svoboda Party and UNP picketed City Council demanding it to revise its decision to fare for public transportation,Cherkasy,Cherkasy,public transportation ,,,,0,0,0,N,,0,0,,,,,,
CK 14,24-Dec-2009,Thu,picket,party,CPU of Cherkasy,local authorities,City Council,Representatives of CPU picketed City Council protesting against its decision to rent out communal enterprise 'Cherkasyteplokomunenergo',Cherkasy,Cherkasy,privatization,,,11,0,0,0,N,,0,0,,,,,,
CK 15,14-Jan-2010,Thu,picket,communal enterprise,"workers of communal enterprises (medical emergency service,  snow-removal and garbage collecting enterprise)",government,State  Treasury,"Workers of communal enterprises picketed local department of  State Treasury because it had not given money to these units, so that workers had not received wages and there had been no money even for fuel. They came themselves and brought ambulances,  snow plows, etc.",Cherkasy,Cherkasy,insufficient financing,,,,0,0,0,N,,0,0,,,,,,
CK 16,21-Jan-2010,Thu,rally,"NGO, citizens","NGO ""Enough to cheat us!""",company,credit unions,Cheated depositors gathered to express their protest against the arbitrariness of credit unions and demanded  to pay interest rate and offset differences in the currency exchange rate.,Cherkasy,Cherkasy,fraud,,,29,0,0,0,N,,0,0,,,,,,
CK 17,21-Jan-2010,Thu,obstruction,"NGO, citizens","NGO ""Enough to cheat us!""",company,credit unions,"As a protest against the arbitrariness of credit unions, participants blocked traffic with demands to compensate the currency exchange rate differences, pay interest and compensate moral harm.",Cherkasy,Cherkasy,fraud,,,29,0,0,0,N,,0,0,,,,,,
CK 18,1-Feb-2010,Mon,rally,"NGO, citizens","NGO ""Active Cherkasy""",government,"President of Ukraine V.Yuschenko, Prime-minister of Ukraine Tymoshenko, the chairman of the Parliament of Ukraine, the Chairman of National Bank of Ukraine","Protesters demand to diminish credit rates, prohibit treatment of cases related to banks in intermediate courts, enact guarantees of returning deposits.",Cherkasy,Cherkasy,loans,,,,0,0,0,N,,0,0,,,,,,
CK 19,7-Feb-2010,Sun,symbolic ,citizens,voter,local authorities ,,73 aged man on the election day at polling station №53 ate his ballot. In that way he expressed his protest against the fact that his favorite candidate Yushchenko was not in the list.  ,Cherkasy,Kolodyste village,electoral ,,,1,0,0,0,N,,0,0,,,,,,
CK 2,22-Oct-2009,Thu,cancel,NGO,"public organization ""People's Salvation Army"" (Народна армія спасіння) ",,,"public organization ""People's Salvation Army"" didn't show up for the rally supposed to be held by it near the Trade House in Cherkasy that day.  ",Cherkasy,Cherkasy,electoral,,,,0,0,0,N,0,0,0,,,,,,
CK 20,4-Mar-2010,Thu,strike ,workers ,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","local authorities, communal enterprise","City Council of Cherkasy, management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","People demanded to pay-off the salary debt from November. The communal enterprise ""Cherkasy Electirc Transport"" have to pay-off almost two million hryvnyas. Officials promised to pay-off 303 thousand hryvnyas in two days. If local authorities don't pay promised money, workers will go on a permanent strike from the March, 20.",Cherkasy,Cherkasy,wage arrears ,,10.00-12.00,299,0,0,0,N,,0,0,,,,,,
CK 21,4-Mar-2010,Thu,offer,"local authorities, communal enterprise","City Council of Cherkasy, management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",workers ,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)", Officials promised to pay-off 303 thousand of two million hryvnyas debt to the workers.,Cherkasy,Cherkasy,wage arrears ,,,,0,0,0,N,,0,0,,,,,,
CK 22,4-Mar-2010,Thu,ultimatum,workers ,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","local authorities, communal enterprise","City Council of Cherkasy, management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","If local authorities don't pay promised part of the wage arrears, workers will go on a permanent strike from the March, 20.",Cherkasy,Cherkasy,wage arrears ,,10.00-12.00,299,0,0,0,N,,0,0,,,,,,
CK 23,22-Mar-2010,Mon,rally ,party,"""Svoboda"", UNP",local authorities ,city mayor Serhyi Odarych,"Protesters demanded from the city mayor to give a financial public report on the draft on funds for the repair of roads and highways. Protesters ascertained the bad condition of the road with the slogan ""Thank authorities for f*cking roads"".",Cherkasy,Cherkasy,public utilities,,,,0,0,0,N,,0,0,,,,,,
