ID,Event start date,One day?,Event end date,Day of the week,Action type,Action,Actor-structure,Actor-form,Actor-ideology,Actor specified,Target addressee,Target criticized,Target-structure,Target-form,Target-ideology,Target specified,Event,Event series,Oblast,Location,Time,Issue 1,Issue 2,Issue 3,Number of protesters,Number of protesters arrested,Number of protesters injured,Number of protesters killed,Property damage,State forces involved in the conflict,Number of state forces injured,Number of state forces killed,Dubious event
DN12010101,01.01.12,1,01.01.12,Sun,protest,demonstration/march,,party,rightists,Svoboda,,,,,,,March of Bandera in Donbass region.,Bandera's birthday,Donetsk,Horlivka,,OUN-UPA,,,21,0,0,0,N,,0,0,N
KH12010101,01.01.12,1,01.01.12,Sun,protest,picket,,party,,BYT,law-enforcement,"law-enforcement, government",,,,"Kachanivska penal colony for women, ruling Party of Regions","Activists of BYT celebrated New Year, picketing Kachanivska penal colony for women, where their dear leader serves a term.",KH11123001,Kharkiv,Kharkiv,12:00:00 AM,pro-Tymoshenko,anti-government,,199,0,0,0,N,,0,0,N
KIEV12010101,01.01.12,1,01.01.12,Sun,protest,symbolic,citizens,,,,government,government,,,,,"During New year night citizens made a laser show with a text ""Freedom to Yulia""",KIEV12010101,Kyiv,Kyiv,,pro-Tymoshenko,,,2,0,0,0,N,,0,0,N
KIEV12010102,01.01.12,1,01.01.12,Sun,negative response,protocol,state forces,,,police,,,citizens,,,,"Police entered the hotel ""Kozatsky"" and wanted to arrest people who made a laser show with a text ""Freedom to Yulia"".",KIEV12010101,Kyiv,Kyiv,,pro-Tymoshenko,,,,0,0,0,N,5,0,0,N
KIEV12010103,01.01.12,1,01.01.12,Sun,protest,demonstration/march,,"party, initiative group",rightists,"Svoboda, KUN, Autonomous society ""Hrusha""",,,,,,,Rightists made a march celebrating anniversary of OUN-UPA leader Stepan Bandera.,Bandera's birthday,Kyiv,Kyiv,,OUN-UPA,anti-Communism,public health,999,0,0,0,N,,0,0,N
KIEV12010104,01.01.12,2,05.01.12,Sun,protest,vigil,artists,,,,,,,,,,"Artists established a vigil at studio of National Artists Union at Andriivsky descent, afraid it might be arsoned.",,Kyiv,Kyiv,,development projects,,,,0,0,0,N,,0,0,N
KR12010101,01.01.12,1,01.01.12,Sun,protest,demonstration/march,,party,rightists,Svoboda,,,,,,,Svoboda marched on Bandera's birthday.,Bandera's birthday,Kirovograd,Kirovograd,,OUN-UPA,,,51,0,0,0,N,,0,0,N
KR12010102,01.01.12,1,01.01.12,Sun,positive response,accede,local authorities,,,city council,,,,NGO,,Vzajemodopomoga,Due to public pressure increased water tariffs were abolished.,,Kirovograd,Oleksandria,,public utilities,,,,0,0,0,N,0,0,0,N
LVIV12010101,01.01.12,1,01.01.12,Sun,protest,demonstration/march,citizens,,,,,,,,,,a march celebrating anniversary of OUN-UPA leader Stepan Bandera.,Bandera's birthday,Lviv,Lviv,,OUN-UPA,,,150,0,0,0,N,,0,0,N
MK12010101,01.01.12,1,01.01.12,Sun,protest,symbolic,,NGO,rightists,Sokil,,party,,,,"CPU, SPU, Russian block, PR",Activists burned flags of opposite parties.,,Mykolaiv,Mykolaiv,,Ukrainian nationalism,OUN-UPA,,,0,0,0,N,,0,0,N
OD12010101,01.01.12,1,01.01.12,Sun,protest,demonstration/march,,party,rightists,Svoboda,,,,,,,Rightists marched for Bandera.,"Bandera's birthday, OD11122901",Odesa,Odesa,,OUN-UPA,,,51,0,0,0,N,,0,0,N
PL12010101,01.01.12,1,01.01.12,Sun,protest,demonstration/march,,party,rightists,Svoboda,,,,,,,In Poltava Svoboda also marched on 1st of Jan for Bandera.,Bandera's birthday,Poltava,Poltava,,OUN-UPA,,,49,0,0,0,N,,0,0,N
PL12010102,01.01.12,1,01.01.12,Sun,protest,arson,unknown,,,the unknown,,,religious institution,,,synagogue,"Police claims that during the New Year night some unknown threw Molotov at synagogue, but the fire only hit a column nearby and when police came the fire already self extinguished.",,Poltava,Kremenchuk,,antisemitism,,,,0,0,0,Y,,0,0,Y
RV12010101,01.01.12,1,01.01.12,Sun,protest,demonstration/march,,party,rightists,Svoboda,,,,,,,Rightists made a march celebrating anniversary of OUN-UPA leader Stepan Bandera.,Bandera's birthday,Rivne,Rivne,06:00:00 PM,OUN-UPA,,,401,0,0,0,N,,0,0,N
TE12010101,01.01.12,1,01.01.12,Sun,protest,demonstration/march,,party,rightists,Svoboda,government,government,,,,,"Svoboda had a torch-light procession, commemorating the anniversary of Bandera's birth and demanding state recognition of OUN-UPA",Bandera's birthday,Ternopil,Ternopil,,OUN-UPA,,,199,0,0,0,N,,0,0,N
ZP12010101,01.01.12,1,01.01.12,Sun,protest,motorcade,,party,rightists,Svoboda,,,,,,,Svoboda went on a motorcade to commemorate Bandera despite court prohibition.,"Bandera's birthday, ZP11123101",Zaporizhzhya,Zaporizhzhya,,OUN-UPA,,,,0,0,0,N,,0,0,N
ZT12010101,01.01.12,1,01.01.12,Sun,protest,blockade,neighborhood,,,,company,company,,,,,Local inhabitants wanted to block the road protesting against businessmen who wanted to destroy their building.,,Zhytomyr,Zhytomyr,,development projects,housing rights,,,0,0,0,N,,0,0,N
ZT12010102,01.01.12,1,01.01.12,Sun,negative response,preempt,state forces,,,police,,,neighborhood,,,,Police did not allow protesters to block the road.,,Zhytomyr,Zhytomyr,,development projects,housing rights,,,0,0,0,N,,0,0,N
CN12010201,02.01.12,approximate,02.01.12,Mon,protest,graffiti,,initiative group,rightists,autonomous nationalists,,government,,,,Yanukovych,Nationalists in Chernihiv shot paint at Yanukovych winter greeting bigboards.,paint Yanuk,Chernihiv,Chernihiv,,anti-Yanukovych,,,,0,0,0,Y,0,0,0,N
CRIMEA12010201,02.01.12,1,02.01.12,Mon,protest,destroy,citizens,,,Maksim Kytsiuk,,,,,,,A citizen  took away an umbrella with PR agitation attached to a Santa Claus near the main city New Year tree,,Crimea,Sevastopol,,anti-PR,,,1,0,0,0,Y,0,0,0,N
CRIMEA12010202,02.01.12,1,02.01.12,Mon,negative response,arrest,state forces,,,road police,,,citizens,,,activist Maskym Kytsyuk,The citizen was arrested for taking the street PR umbrella with himself.,,Crimea,Sevastopol,,anti-PR,,,,1,0,0,N,,0,0,N
