,ID,Event start date,One day?,Event end date,Day of the week,x,y,month,Location String,coordinates,Action type,Action,Actor-structure,Actor-form,Actor-ideology,Actor specified,Target addressee,Target criticized,Target-structure,Target-form,Target-ideology,Target specified,Event,Event series,Pavlichenko,Oblast,Location,Time,Issue 1,Issue 2,Issue 3,Public transportation,Number of protesters,Number of civilians arrested,Number of civilians injured,Number of civilians killed,Property damage,State forces involved in the conflict,Number of state forces injured,Number of state forces killed,Dubious event
0,CK13010101,2013-01-01,1,2013-01-01,Tue,30.353062950832914,49.00784915,49,"Cherkasy, Mankivka village",POINT (30.35306295083291 49.00784915),protest,demonstration/march,,"party, NGO",rightists,"Svoboda, ""Sichovii Kurin""",,,,,,,Svoboda marhced in memory of S.Bandera.,Bandera birthday 2013,,Cherkasy,Mankivka village,,OUN-UPA,pro-Svoboda,,,31.0,0.0,0.0,0,N,,0.0,0,N
1,CK13011601,2013-01-16,1,2013-01-16,Wed,32.0587805,49.4447888,49,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,rally,neighborhood,,,Zolotonosha neighborhood,local authorities,company,,,,MTS,People mobilized against mobile communications tower.,,,Cherkasy,Cherkasy,,environment,,,,,0.0,0.0,0,N,,0.0,0,N
2,CK13012101,2013-01-21,1,2013-01-21,Mon,32.0587805,49.4447888,49,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,symbolic,,party,,Front Zmin (or other oppositional party regional council deputies),,"government, party",,,,Party of Regions,"Women-oppositional deputies of regional council showed up with a banner ""freedom to political prisoners"" before the regional officials speech on Sobornist Day.",,,Cherkasy,Cherkasy,,pro-Tymoshenko,anti-PR,pro-Lutsenko,,4.0,0.0,0.0,0,N,,0.0,0,N
3,CK13012201,2013-01-22,1,2013-01-22,Tue,32.0587805,49.4447888,49,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,rally,,party,rightists,"Batkivshyna (BYT), Udar, Front Zmin, Svoboda",,"government, party",,,,Party of Regions,Anti-PR framing was present at Sobornist Day in Cherkasy.,,,Cherkasy,Cherkasy,,anti-PR,Ukrainian nationalism,pro-opposition,,499.0,0.0,0.0,0,N,,0.0,0,N
4,CK13012901,2013-01-29,1,2013-01-29,Tue,32.0587805,49.4447888,49,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,demonstration/march,,party,rightists,Svoboda,,"party, government",,,,Party of Regions,At Svoboda march in memory of Kruty in Cherkasy they burned a PR flag.,,,Cherkasy,Cherkasy,,anti-PR,,,,299.0,0.0,0.0,0,N,,0.0,0,N
5,CK13013001,2013-01-30,1,2013-01-30,Wed,32.0587805,49.4447888,49,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),other repression,harass,state forces,,,some state forces (police?),,,,party,rightists,Svoboda,"Svoboda say that police harassed their leader in Cherkasy by car ambush accusing him of hitting someone by car, but then they disappeared.",,,Cherkasy,Cherkasy,,anti-Svoboda,,,,,0.0,0.0,0,N,,0.0,0,Y
6,CK13020101,2013-02-01,1,2013-02-01,Fri,32.0587805,49.4447888,50,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,picket,,party,rightists,"Svoboda, BYT, Udar, Front Zmin",state forces,"state forces, party, government",,,,"police regional HQ, PR",United opposition mobilized because of Svoboda leader A.Lupka arrest.,,,Cherkasy,Cherkasy,,police abuse,anti-PR,pro-opposition,,29.0,0.0,0.0,0,N,,0.0,0,N
7,CK13021801,2013-02-18,1,2013-02-18,Mon,32.0587805,49.4447888,50,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,picket,,party,rightists,"BYT, Front Zmin, Udar, Svoboda, NRU",local authorities,local authorities,,,,governor S.Tulub,Oppositional parties in Cherkasy suggest that governor Tulub resigns.,CK13021801,,Cherkasy,Cherkasy,,anti-Tulub,anti-PR,,,199.0,0.0,0.0,0,N,,0.0,0,N
8,CK13021802,2013-02-18,1,2013-02-18,Mon,32.0587805,49.4447888,50,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,rally,,party,,PR,,,,party,rightists,"BYT, Front Zmin, Udar, Svoboda, NRU","PR counter-rally said ""let the parliament work"".",CK13021801,,Cherkasy,Cherkasy,,pro-PR,,,,,0.0,0.0,0,N,,0.0,0,N
9,CK13022001,2013-02-20,1,2013-02-20,Wed,30.2203052,48.7497621,50,"Cherkasy, Uman",POINT (30.2203052 48.7497621),protest,picket,neighborhood,,,neighborhood of Zoya Kosmodemianska park,local authorities,company,,,,"city council, development company",Locals appealed to authorities against construction project in their park.,,,Cherkasy,Uman,,development projects,,,,69.0,0.0,0.0,0,N,,0.0,0,N
