ID,Event start date,One day?,Event end date,Day of the week,Action type,Action,Actor-structure,Actor-form,Actor-ideology,Actor specified,Target addressee,Target criticized,Target-structure,Target-form,Target-ideology,Target specified,Event,Event series,Pavlichenko,Oblast,Location,Time,Issue 1,Issue 2,Issue 3,Public transportation,Number of protesters,Number of civilians arrested,Number of civilians injured,Number of civilians killed,Property damage,State forces involved in the conflict,Number of state forces injured,Number of state forces killed,Dubious event
CK13010101,2013-01-01,1,2013-01-01,Tue,protest,demonstration/march,,"party, NGO",rightists,"Svoboda, ""Sichovii Kurin""",,,,,,,Svoboda marhced in memory of S.Bandera.,Bandera birthday 2013,,Cherkasy,Mankivka village,,OUN-UPA,pro-Svoboda,,,31,0,0,0,N,,0,0,N
CK13011601,2013-01-16,1,2013-01-16,Wed,protest,rally,neighborhood,,,Zolotonosha neighborhood,local authorities,company,,,,MTS,People mobilized against mobile communications tower.,,,Cherkasy,Cherkasy,,environment,,,,,0,0,0,N,,0,0,N
CK13012101,2013-01-21,1,2013-01-21,Mon,protest,symbolic,,party,,Front Zmin (or other oppositional party regional council deputies),,"government, party",,,,Party of Regions,"Women-oppositional deputies of regional council showed up with a banner ""freedom to political prisoners"" before the regional officials speech on Sobornist Day.",,,Cherkasy,Cherkasy,,pro-Tymoshenko,anti-PR,pro-Lutsenko,,4,0,0,0,N,,0,0,N
CK13012201,2013-01-22,1,2013-01-22,Tue,protest,rally,,party,rightists,"Batkivshyna (BYT), Udar, Front Zmin, Svoboda",,"government, party",,,,Party of Regions,Anti-PR framing was present at Sobornist Day in Cherkasy.,,,Cherkasy,Cherkasy,,anti-PR,Ukrainian nationalism,pro-opposition,,499,0,0,0,N,,0,0,N
CK13012901,2013-01-29,1,2013-01-29,Tue,protest,demonstration/march,,party,rightists,Svoboda,,"party, government",,,,Party of Regions,At Svoboda march in memory of Kruty in Cherkasy they burned a PR flag.,,,Cherkasy,Cherkasy,,anti-PR,,,,299,0,0,0,N,,0,0,N
CK13013001,2013-01-30,1,2013-01-30,Wed,other repression,harass,state forces,,,some state forces (police?),,,,party,rightists,Svoboda,"Svoboda say that police harassed their leader in Cherkasy by car ambush accusing him of hitting someone by car, but then they disappeared.",,,Cherkasy,Cherkasy,,anti-Svoboda,,,,,0,0,0,N,,0,0,Y
CK13020101,2013-02-01,1,2013-02-01,Fri,protest,picket,,party,rightists,"Svoboda, BYT, Udar, Front Zmin",state forces,"state forces, party, government",,,,"police regional HQ, PR",United opposition mobilized because of Svoboda leader A.Lupka arrest.,,,Cherkasy,Cherkasy,,police abuse,anti-PR,pro-opposition,,29,0,0,0,N,,0,0,N
CK13021801,2013-02-18,1,2013-02-18,Mon,protest,picket,,party,rightists,"BYT, Front Zmin, Udar, Svoboda, NRU",local authorities,local authorities,,,,governor S.Tulub,Oppositional parties in Cherkasy suggest that governor Tulub resigns.,CK13021801,,Cherkasy,Cherkasy,,anti-Tulub,anti-PR,,,199,0,0,0,N,,0,0,N
CK13021802,2013-02-18,1,2013-02-18,Mon,protest,rally,,party,,PR,,,,party,rightists,"BYT, Front Zmin, Udar, Svoboda, NRU","PR counter-rally said ""let the parliament work"".",CK13021801,,Cherkasy,Cherkasy,,pro-PR,,,,,0,0,0,N,,0,0,N
CK13022001,2013-02-20,1,2013-02-20,Wed,protest,picket,neighborhood,,,neighborhood of Zoya Kosmodemianska park,local authorities,company,,,,"city council, development company",Locals appealed to authorities against construction project in their park.,,,Cherkasy,Uman,,development projects,,,,69,0,0,0,N,,0,0,N
CK13022201,2013-02-22,1,2013-02-22,Fri,negative response,preclude,local authorities,,,city council,,,,party,rightists,Svoboda,Local authorities of Cherkasy tried to restrict freedom of assembly for Svoboda motivating it with city council decision demanding notification 5 days ahead of action. The event took place anyway.,"CK13022501, CK13022201",,Cherkasy,Cherkasy,,anti-PR,anti-Tulub,,,,0,0,0,N,0,0,0,N
CK13022501,2013-02-25,1,2013-02-25,Mon,protest,demonstration/march,,party,rightists,"BYT, Udar, Svoboda, Front Zmin",,government,,,,Yanukovich,Opposition marched against Yanukovich's ruling.,"CK13022501, CK13022201",,Cherkasy,Cherkasy,,anti-PR,pro-Tymoshenko,anti-Tulub,,199,0,0,0,N,,0,0,N
CK13022502,2013-02-25,1,2013-02-25,Mon,protest,rally,,party,,PR,,,,party,rightists,"BYT, Udar, Svoboda, Front Zmin",PR rallied at the site of oppoisition's protest.,"CK13022501, CK13022201",,Cherkasy,Cherkasy,,anti-opposition,pro-PR,,,49,0,0,0,N,,0,0,N
CK13022503,2013-02-25,1,2013-02-25,Mon,negative response,attack,unknown,,,likely pro-PR forces,,,,party,rightists,Svoboda,Likely PR fighters stormed into Svoboda office and damaged performance equipment.,"CK13022501, CK13022201",,Cherkasy,Cherkasy,,anti-opposition,anti-Svoboda,,,,0,0,0,Y,0,0,0,N
CK13022601,2013-02-26,1,2013-02-26,Tue,protest,symbolic,,party,rightists,Svoboda,,government,,,,Yanukovich,In Uman Svoboda marched with symbolic burial of Yanukovich.,,,Cherkasy,Uman,,anti-Yanukovych,,,,49,0,0,0,N,,0,0,N
CK13022801,2013-02-28,1,2013-02-28,Thu,protest,harass,unknown,,,likely the ruling party,,,,party,rightists,Svoboda,"In response to ""Yanukovich burial"" in Uman, they left a coffin by oppositioner's house.",CK13022601,,Cherkasy,Uman,,anti-opposition,,,,,0,0,0,N,0,0,0,N
CK13031201,2013-03-12,1,2013-03-12,Tue,protest,picket,disabled,,,hemodialysis patients,local authorities,local authorities,,,,regional state administration,Hemodialysis patients ask authorities to finance private clinic Frezenius.,"CK13031201, Frezenius",,Cherkasy,Cherkasy,,public health,insufficient financing,,,101,0,0,0,N,,0,0,N
CK13031202,2013-03-12,1,2013-03-12,Tue,protest,blockade,disabled,,,hemodialysis patients,local authorities,local authorities,,,,regional state administration,Then they went to block Cherkasy damb bridge.,"CK13031201, Frezenius",,Cherkasy,Cherkasy,,public health,insufficient financing,,,31,0,0,0,N,,0,0,N
CK13031203,2013-03-12,1,2013-03-12,Tue,negative response,criminal case,law-enforcement,,,police,,,,party,rightists,Svoboda,"Police invited participants of ""Yanukovich burial"" for interrogation, because of opened criminal case of hooliganism.",CK13022601,,Cherkasy,Uman,,anti-Yanukovych,,,,,0,0,0,N,,0,0,N
CK13031301,2013-03-13,1,2013-03-13,Wed,negative response,criminal case,state forces,,,police,,,disabled,,,hemodialysis patients,Police opened criminal case related to the fact of damb obstruction (which lasted for half an hour).,"CK13031201, Frezenius",,Cherkasy,Cherkasy,,public health,insufficient financing,,,,0,0,0,N,,0,0,N
CK13031401,2013-03-14,1,2013-03-14,Thu,negative response,harass,state forces,,,police,,,disabled,,,hemodialysis patients,Road police tried to hold off the driver of bus hired by hemodialysis patients heading to Kyiv for protest.,"CK13031201, Frezenius",,Cherkasy,Cherkasy,,public health,insufficient financing,,,,0,0,0,N,,0,0,N
CK13031801,2013-03-18,1,2013-03-18,Mon,protest,graffiti,,party,,BYT,local authorities,local authorities,,,,"mayor, city council",BYT youth painted road pits with white and put slogans against mayor.,,,Cherkasy,Cherkasy,,traffic regulation,public utilities,anti-Odarych,,,0,0,0,N,,0,0,N
CK13032001,2013-03-20,1,2013-03-20,Wed,protest,break in,,"party, NGO",rightists,"Svoboda, BYT, Front Zmin, ""Ukrainian union of B.Khmelnitsky"", ""Council of Uman NGOs""",local authorities,"local authorities, company",,,,"city council, private initiatives",Oppositional parties stormed Uman city council because of land usage decisions and development projects and sport school deprivation.,CK13032001,,Cherkasy,Uman,,land,development projects,sport,,199,0,0,0,N,,0,0,N
CK13032002,2013-03-20,1,2013-03-20,Wed,negative response,attack,unknown,,,"sportsmen who secured the ""deryban"" session",,,,"party, NGO",rightists,"Svoboda, BYT, Front Zmin, ""Ukrainian union of B.Khmelnitsky"", ""Council of Uman NGOs""","Unknown sportsmen, obviously hired by authorities or interest groups, stood against protestors. One woman was injured, some property was damaged.",CK13032001,,Cherkasy,Uman,,land,development projects,sport,,,0,1,0,Y,,0,0,N
CK13032101,2013-03-21,1,2013-03-21,Thu,protest,picket,,party,rightists,"Svoboda, BYT, Front Zmin, Udar",local authorities,local authorities,,,,mayor S.Odarych,"Cherkasy opposition demand mayor Odarych to resign. Issues: Frezenius public health financing, against act of city council on the peaceful assemblies, against mayor.",CK13032101,,Cherkasy,Cherkasy,,anti-Odarych,civic liberties,public health,,299,0,0,0,N,29,0,0,N
CK13032102,2013-03-21,1,2013-03-21,Thu,protest,break in,,party,rightists,"Svoboda, BYT, Front Zmin, Udar",,local authorities,,,,mayor S.Odarych,"They tried to break in, but police stopped them. Nevertheless, some protesters did break in.",CK13032101,,Cherkasy,Cherkasy,,anti-Odarych,civic liberties,public health,,31,0,0,0,N,29,0,0,N
CK13032103,2013-03-21,1,2013-03-21,Thu,positive response,accede,local authorities,,,city council,,,,party,rightists,"Svoboda, BYT, Front Zmin, Udar","City council partly denied the previous decision restricting freedom of assemblies (yet, the part deciding time terms of notification was not changed).",CK13032101,,Cherkasy,Cherkasy,,civic liberties,,,,,0,0,0,N,0,0,0,N
CK13032104,2013-03-21,1,2013-03-21,Thu,negative response,blockade,state forces,,,police,,,,party,rightists,"Svoboda, BYT, Front Zmin, Udar",police prevented them from breaking in,CK13032101,,Cherkasy,Cherkasy,,anti-Odarych,civic liberties,public health,,,0,0,0,N,29,0,0,N
CK13032201,2013-03-22,1,2013-03-22,Fri,protest,picket,disabled,party,rightists,"hemodialysis patients, Svoboda, BYT, Udar, Front Zmin",local authorities,local authorities,,,,"regional state administration, mayor, city council","Hemodialysis patients turned attention of regional state administration to their problem, oppositional parties demanded governor to resign.","CK13032101, CK13031201, Frezenius, CK13032201",,Cherkasy,Cherkasy,,public health,insufficient financing,anti-Tulub,,151,0,0,0,N,,0,0,N
CK13032202,2013-03-22,1,2013-03-22,Fri,protest,break in,disabled,party,rightists,"hemodialysis patients, Svoboda, BYT, Udar, Front Zmin",local authorities,local authorities,,,,"regional state administration, mayor, city council",They stormed into the building. One local BYT deputy broke his finger. Also breaking of PR tent property by the oppositioners is reported by some news.,"CK13032101, CK13031201, Frezenius, CK13032201",,Cherkasy,Cherkasy,,public health,insufficient financing,anti-Tulub,,,0,1,0,Y,,0,0,N
CK13032203,2013-03-22,1,2013-03-22,Fri,protest,fight,,party,,PR youth,,,disabled,party,rightists,"hemodialysis patients, Svoboda, BYT, Udar, Front Zmin",PR youth tried not to let in oppositional protesters.,"CK13032101, CK13031201, Frezenius, CK13032201",,Cherkasy,Cherkasy,,pro-Tulub,pro-PR,,,21,0,0,0,N,,0,0,N
CK13040301,2013-04-03,1,2013-04-03,Wed,protest,picket,,party,rightists,"Svoboda, BYT, FoC, UDAR",law-enforcement,law-enforcement,,,,Cherkasy police department,Opposition demanded from the police to find the person who broke deputy Singayivskyi's finger.,,,Cherkasy,Cherkasy,16::00:00,police non-feasance,,,,31,0,0,0,N,,0,0,N
CK13040601,2013-04-06,1,2013-04-06,Sat,protest,rally,,party,rightists,"BYT, Svoboda, UDAR, FoC","local authorities, government","local authorities, government",,,,"Cherkasy city council, government of Ukraine","Opposition protested against policy of Sergiy Tulub and Viktor Yanukovych, demanding their impeachment.",Rise Ukraine,,Cherkasy,Cherkasy,16:00:00,welfare,anti-Tulub,anti-government,,1249,0,0,0,N,,0,0,N
CK13040602,2013-04-06,1,2013-04-06,Sat,negative response,attack,unknown,,,"men dressed in Svoboda T-shirts and ""Attack Jews!""",,,,party,rightists,"UDAR, BYT, Svoboda","During the opposition rally, some men dressed in Svoboda T-shirts attacked the protesters. Presumably, this was a provocative action supported by Party of Regions.",Rise Ukraine,,Cherkasy,Cherkasy,16:00:00,antisemitism,anti-Svoboda,anti-opposition,,,0,1,0,N,,0,0,N
CK13040801,2013-04-08,2,2013-08-12,Mon,protest,vigil,neighborhood,,,inhabitants of Verguny village,company,"local authorities, company",,,,"Malo-Buzukivskyi granite quarry, local authorities","Villagers do not let heavy trucks pass through their village, because they damage road and their houses",,,Cherkasy,Verhuny village,,welfare,public utilities,,,,0,0,0,N,,0,0,N
CK13040901,2013-04-09,1,2013-04-09,Tue,protest,picket,disabled,,,Frezenius patients,local authorities,local authorities,,,,Cherkasy region administration,"Patients of Frezenius picketed region administration, demanding to meet the patients' financing requirements.",Frezenius,,Cherkasy,Cherkasy,10:00:00,insufficient financing,public health,disabled rights,,31,0,0,0,N,,0,0,N
CK13040902,2013-04-09,1,2013-04-09,Tue,protest,symbolic,,party,,BYT (Batkivshchyna Moloda),local authorities,local authorities,,,,Cherkasy local authorities,"Activists tied white stripes around the trees at local park, protesting against their cutting down.",,,Cherkasy,Cherkasy,,environment,,,,10,0,0,0,N,0,0,0,N
CK13041201,4/12/2013,1,4/12/2013,Fri,negative response,preempt,law-enforcement,,,road police,,,,party,rightists,opposition,it was reported that road police did their best to prevent transportation companies from carrying opposition to Rise Ukraine action in Kharkiv,Rise Ukraine,,Cherkasy,Uman,,anti-government,,,,,0,0,0,N,,0,0,N
CK13041401,2013-04-14,1,2013-04-14,Sun,protest,demonstration/march,,party,rightists,Svoboda,,"law-enforcement, government",,,,government of Ukraine,Rightists organized a torch march in commemoration of Gonta and Zaliznyak. They urged for revolution and demanded to release Pavlychenkos.,,,Cherkasy,Uman,19:00:00,civic liberties,Ukrainian nationalism,anti-government,,61,0,0,0,N,,0,0,N
CK13042101,2013-04-21,1,2013-04-21,Sun,protest,attack,,party,rightists,"Svoboda, BYT",,,,party,,Party of Regions,"At Kholodnyi Yar celebrations, rightists prevented Party of Regions from unfolding their flag and destroyed it.",,,Cherkasy,Melnyky village,,anti-PR,,,,11,0,0,0,Y,,0,0,N
CK13042401,2013-04-24,1,2013-04-24,Wed,protest,picket,,party,,"Free Democrats Party, inhabitants of Cherkasy",local authorities,,,,,"Cherkasy city council, Serhiy Odarych",Locals rallied in support of city mayor Odarych.,CK13042401,,Cherkasy,Cherkasy,09:30:00,pro-mayor,,,,99,0,0,0,N,,0,0,N
CK13042402,2013-04-24,1,2013-04-24,Wed,negative response,preempt,local authorities,,,local authorities of the city,,,,party,rightists,BYT UDAR Svoboda FoC,"suddenly the road was closed for repair, on which march of opposition was supposed to start the next day. and local authorities reserved the place where rally was supposed to happen, for some concert",Rise Ukraine,,Cherkasy,Cherkasy,,Ukrainian nationalism,pro-Tymoshenko,anti-Yanukovych,,,0,0,0,N,0,0,0,N
CK13042501,2013-04-25,1,2013-04-25,Thu,protest,demonstration/march,,party,rightists,"Svoboda, BYT, UDAR, FoC",government,government,,,,"Cabinet of Ministers, Verkhovna Rada, President of Ukraine","Opposition conducted ""Vstavay, Ukraino"" action in Ukraine. They demanded Tymoshenko's release and government's impeachment. police claims only 400 participants",Rise Ukraine,,Cherkasy,Cherkasy,17:00:00,Ukrainian nationalism,pro-Tymoshenko,anti-Yanukovych,,2701,0,0,0,N,31,0,0,N
CK13042502,2013-04-25,1,2013-04-25,Thu,protest,rally,"teachers, workers",party,leftists,"CPU, PR, teachers, workers of administration",,"rightists, party",,,,"opposition, Svoboda","while opposition had Rise Ukraine protest, these people celebrated Victory in WW2 and protested against fascism",,,Cherkasy,Cherkasy,,WW2,neofascism,anti-rightists,,199,0,0,0,N,,0,0,N
CK13042601,2013-04-26,1,2013-04-26,Fri,other repression,confrontation,"local authorities, state forces",,,"regional council, police",,,"journalists, politician",,,"journalists of TV-channel Vikka, some opposition deputies",police did not allow them to enter the session of regional council. they consider it to be politically motivated,,,Cherkasy,Cherkasy,,freedom of speech,anti-opposition,,,,0,0,0,N,,0,0,N
CK13051701,2013-05-17,1,2013-05-17,Fri,protest,picket,citizens,,,inhabitants of Cherkasy,court,politician,,,,Serhiy Odarych,Opponents of Odarych came to the court where his case was to be heard.,,,Cherkasy,Cherkasy,,anti-mayor,,,,31,0,0,0,N,,0,0,N
CK13051702,2013-05-17,1,2013-05-17,Fri,protest,picket,citizens,,,supporters of Odarych,court,court,,,,court,supporters of ex-mayor also picketed court,,,Cherkasy,Cherkasy,,pro-mayor,,,,31,0,0,0,N,,0,0,N
CK13051703,5/17/2013,1,5/17/2013,Fri,negative response,preempt,unknown,,,unknown,,,,party,rightists,opposition,it was reported that somehow there was no tickets to get to Kyiv. opposition related this to Rise Ukraine action,Rise Ukraine,,Cherkasy,Cherkasy,,anti-government,,,,,0,0,0,N,0,0,0,Y
CK13051704,5/17/2013,approximate,5/17/2013,Fri,negative response,preempt,law-enforcement,,,police,,,,party,rightists,opposition,police harassed local transporters so that they would not take opposition to Rise Ukraine,Rise Ukraine,,Cherkasy,Uman,,anti-government,,,,,0,0,0,N,,0,0,N
CK13052301,2013-05-23,1,2013-05-23,Thu,protest,picket,,party,,Party of Free Democrats,court,court,,,,Cherkasy court,Party of Free Democrats supported Odarych during court hearing.,CK13042401,,Cherkasy,Cherkasy,,officials' illegal actions,pro-mayor,,,99,0,0,0,N,,0,0,N
CK13052302,2013-05-23,1,2013-05-23,Thu,protest,picket,citizens,,,opponents of ex-mayor,court,politician,,,,"court, ex-mayor",people protested against ex-mayor,CK13042401,,Cherkasy,Cherkasy,,welfare,anti-Odarych,,,99,0,0,0,N,,0,0,N
CK13053101,2013-05-31,1,2013-05-31,Fri,protest,rally,,party,rightists,"Svoboda, inhabitants of Kamyanka",local authorities,local authorities,,,,"Cherkasy region administration, Kamyanka town council",Activists protested against closure of the district hospital.,,,Cherkasy,Kamianka,,company closure,public health,,,201,0,0,0,N,,0,0,N
CK13060301,2013-06-03,1,2013-06-03,Mon,protest,blockade,small business,,,salespeople of Kalynka marketplace,local authorities,local authorities,,,,Cherkasy city council,"Salespeople blocked the road, demanding not to close their sector of the marketplace.",,,Cherkasy,Cherkasy,,company closure,small business rights,unemployment,,,0,0,0,N,,0,0,N
CK13061301,2013-06-13,1,2013-06-13,Thu,protest,picket,small business,,,salespeople from marketplace on Pasterivska street,local authorities,law-enforcement,,,,"Cherkasy city council, law-enforcement",Salespeople demanded to protect them from annoying police checks and not move them to another place,,,Cherkasy,Cherkasy,,small business rights,police abuse,,,31,0,0,0,N,,0,0,N
CK13061701,2013-06-17,1,2013-06-17,Mon,protest,picket,workers,,,workers of Pershe Travnya poultry,company,company,,,,Pershe Travnya poultry,Workers demanded to pay the arreared wages.,,,Cherkasy,Khutory village,,wage arrears,,,,101,0,0,0,N,,0,0,N
CK13061702,2013-06-17,1,2013-06-17,Mon,protest,beating,unknown,,,"unknown persons, presumably locals",,foreign citizens,,,,a Jewish pilgrim,Unknowns have attacked a hasid and severely beaten him. They were shouting antisemitic chants.,,,Cherkasy,Uman,,antisemitism,,,,,0,1,0,N,0,0,0,N
CK13062101,2013-06-21,approximate,2013-06-21,Fri,protest,symbolic,,"party, NGO",rightists,"Svoboda, Council of NGOs","ethnic minority, religious institution","ethnic minority, religious institution",,,,Hasids,"Activists put Orthodox cross in Uman - near the place of Hasids' traditional gathering (according to Hasids' beliefs, they cannot pray near any symbol of other religions)",,,Cherkasy,Uman,,antisemitism,religious rights,,,,0,0,0,N,,0,0,N
CK13070501,2013-07-05,1,2013-07-05,Fri,protest,rally,,"party, NGO",rightists,"Svoboda, BYT, UDAR, FoC, Sokil",law-enforcement,law-enforcement,,,,law-enforcement,people protested against police abuse in relation to Vradiivka rape,Vradiivka rape,,Cherkasy,Cherkasy,,civic liberties,officials' illegal actions,police abuse,,49,0,0,0,N,,0,0,N
CK13070502,2013-07-05,1,2013-07-05,Fri,protest,fight,,party,,FoC member,,,,party,,FoC member,"some fight occured between two men during opposition protest, though most probably they fought for personal reasons",Vradiivka rape,,Cherkasy,Cherkasy,,civic liberties,,,,2,0,,0,N,,0,0,Y
CK13070503,2013-07-05,1,2013-07-05,Fri,protest,demonstration/march,,NGO,,Naddnipryanskyi Foundation,law-enforcement,law-enforcement,,,,Cherkasy police department,Activists demanded justice in Vradiivka case.,Vradiivka rape,,Cherkasy,Cherkasy,,officials' illegal actions,police abuse,,,31,0,0,0,N,,0,0,N
CK13070801,2013-07-08,1,2013-07-08,Mon,protest,picket,,"party, NGO",,"BYT, UDAR, Union of Bohdan Khmelnytskyi, Council of NGOs of Uman",law-enforcement,law-enforcement,,,,city police department,people supported Vradiivka protest and demanded Zaharchenko impeachment,Vradiivka rape,,Cherkasy,Uman,12:00:00,civic liberties,police abuse,anti-Zaharchenko,,31,0,0,0,N,,0,0,N
CK13070901,2013-07-09,1,2013-07-09,Tue,protest,demonstration/march,citizens,,,citizens,law-enforcement,law-enforcement,,,,law-enforcement,people supported Vradiivka protests and gave policeman their honor Code,Vradiivka rape,,Cherkasy,Cherkasy,,civic liberties,officials' illegal actions,police abuse,,49,0,0,0,N,,0,0,N
CK13071101,2013-07-11,1,2013-07-11,Thu,protest,picket,neighborhood,"initiative group, party, NGO",,"Spilna Sprava (Common Cause), inhabitants of Vradiivka, Liga of consolidation of civil society, cossac organization ""Cossac palanka"", inhabitants of Vradiivka, UDAR, Uman activists",law-enforcement,law-enforcement,,,,police,Protesters supported Vradiivka victim and demanded justice in the police system.,Vradiivka rape,,Cherkasy,Uman,10:30:00,officials' illegal actions,police abuse,anti-Zaharchenko,,125,0,0,0,N,,0,0,N
CK13071102,2013-07-11,2,2013-07-15,Thu,protest,hunger strike,neighborhood,,,2 people from dormitory on Gorkogo Street,local authorities,company,,,,"Regional state administration, dormitory owner",dormitory owner wanted to repair it but had not given people temporal housing and switched off gas in the dormitory. two women announced hunger strike,,,Cherkasy,Cherkasy,,housing rights,public utilities,,,2,0,0,0,N,,0,0,N
CK13071103,2013-07-11,1,2013-07-11,Thu,protest,picket,politician,party,rightists,Svoboda,local authorities,"local authorities, law-enforcement",,,,city council,"people protested, because head of local Svoboda Gamalij was in danger of deprivation of deputy status in relation to corruption. they consider this as political repression",,,Cherkasy,Kaniv,,corruption,officials' illegal actions,pro-Svoboda,,49,0,0,0,N,,0,0,N
CK13071201,2013-07-12,1,2013-07-12,Fri,protest,rally,neighborhood,"initiative group, party, NGO",,"Spilna Sprava (Common Cause), inhabitants of Vradiivka, Liga of consolidation of civil society, cossac organization ""Cossac palanka"", inhabitants of Vradiivka, UDAR",law-enforcement,law-enforcement,,,,district police office,people continued Vradiivka protest,Vradiivka rape,,Cherkasy,Monastyryshche,,civic liberties,officials' illegal actions,police abuse,,,0,0,0,N,,0,0,N
CK13071301,2013-07-13,1,2013-07-13,Sat,protest,blockade,"parents, law-enforcement",,,policemen of Smila and their relatives,law-enforcement,law-enforcement,,,,prosecutor's office,"Policemen blocked the road, demanding justice in the investigation of the case on their colleague's murder and to fire head of their department",,,Cherkasy,Smila,,anti-boss,officials' illegal actions,,,51,0,0,0,N,,0,0,N
CK13071302,2013-07-13,1,2013-07-13,Sat,protest,resign,law-enforcement,,,local policeman,,law-enforcement,,,,police,policeman resigned in protest - because he was forced to watch for Vradiivka protesters march on Kyiv. police denied this - but not the fact - only that his resignation did not have juridical power,Vradiivka rape,,Cherkasy,Zhashkiv,,civic liberties,officials' illegal actions,police abuse,,1,0,0,0,N,0,0,0,N
CK13071501,2013-07-15,approximate,2013-07-15,Mon,protest,blockade,neighborhood,,,local people,"local authorities, law-enforcement","local authorities, company",,,,"village council, truck owners, road police","people blocked road with chain, protesting against trucks, which damaged road, houses, and demanding to repair road",,,Cherkasy,Khatsky village,,public utilities,traffic regulation,,,,0,0,0,N,,0,0,N
CK13071601,2013-07-16,2,2013-07-18,Tue,protest,demonstration/march,,party,,"opposition, BYT",law-enforcement,"law-enforcement, government",,,,"law-enforcement, government",opposition organized march on Kyiv to support Vradiivka protesters,Vradiivka rape,,Cherkasy,Cherkasy-Kyiv,10:00:00,police abuse,Ukrainian nationalism,anti-government,,49,0,0,0,N,,0,0,N
CK13072401,2013-07-24,1,2013-07-24,Wed,protest,rally,neighborhood,,,inhabitants of Dahnivka district,local authorities,local authorities,,,,Cherkasy local authorities,"Locals expressed their protest against construction works at the river bank. among other reasons, it may damage their access to public utilities",,,Cherkasy,Cherkasy,,public utilities,development projects,,,51,0,0,0,N,,0,0,N
CK13072901,2013-07-29,1,2013-07-29,Mon,protest,picket,parents,,,parents of Uman,communal enterprise,communal enterprise,,,,Uman maternity hospital,Locals demanded reattestation of doctors and impeachment of main doctor of local maternity hospital because of infant death,CK13072901,,Cherkasy,Uman,09:30:00,public health,officials' illegal actions,,,101,0,0,0,N,,0,0,N
CK13072902,2013-07-29,1,2013-07-29,Mon,protest,rally,neighborhood,,,inhabitants of Shevchenka blvd.,company,company,,,,owner of a small shop,Locals protested against construction of a small shop near their houses.,,,Cherkasy,Cherkasy,,development projects,,,,31,0,0,0,N,,0,0,N
CK13072903,2013-07-29,1,2013-07-29,Mon,protest,picket,parents,,,parents of Uman,law-enforcement,communal enterprise,,,,"Uman maternity hospital, prosecution",Locals demanded reattestation of doctors and impeachment of main doctor of local maternity hospital because of infant death. they picketed prosecution,CK13072901,,Cherkasy,Uman,,public health,officials' illegal actions,,,101,0,0,0,N,,0,0,N
CK13080101,2013-08-01,1,2013-08-01,Thu,protest,rally,neighborhood,,,inhabitants of Lunacharskyi microdistrict,"company, government",company,,,,"President, Prime-minister, deputies, Cherkasygaz (gas supplier)",Locals disagreed with cutting down of hot water supply.,,,Cherkasy,Cherkasy,,public utilities,,,,99,0,0,0,N,,0,0,N
CK13080701,2013-08-07,1,2013-08-07,Wed,protest,rally,neighborhood,,,inhabitants of Dahnivka district of the city,company,company,,,,construction company,Locals protested against construction on a playground.,,,Cherkasy,Cherkasy,,development projects,,,,,0,0,0,N,,0,0,N
CK13080901,2013-08-09,1,2013-08-09,Fri,protest,picket,neighborhood,"party, NGO",rightists,"Svoboda, Sokil, inhabitans of Shchorsa street","ethnic minority, religious institution","ethnic minority, religious institution",,,,Jewish owner of construction site,Locals protested against construction of synagogue in their neighborhood.,CK13080901,,Cherkasy,Uman,,development projects,,,,,0,0,0,N,,0,0,N
